rank,ts_code,name,industry,signal,confidence,tech_score,undervalue_score,accumulation_score,pe_ttm,pb,close,pct_chg,amount
1,600008.SH,首创环保,水务,观望,0.82,21.5,49.2,80.0,13.3432,1.1085,3.11,1.63,485226.633
2,600909.SH,华安证券,证券,即将下跌,0.614,-27.5,78.2,80.0,14.4084,1.3081,6.48,1.25,477261.548
3,601333.SH,广深铁路,铁路,观望,0.753,2.0,46.6,80.0,16.9068,0.7841,3.12,1.3,221780.831
