rank,ts_code,name,industry,signal,confidence,tech_score,undervalue_score,accumulation_score,pe_ttm,pb,close,pct_chg,amount
61,600008.SH,首创环保,水务,观望,0.82,21.5,49.2,80.0,13.3432,1.1085,3.11,1.63,485226.633
62,000060.SZ,中金岭南,铅锌,即将启动,0.406,23.0,49.0,65.0,31.0379,1.8377,7.85,6.8,2120196.739
63,001338.SZ,永顺泰,啤酒,观望,0.645,10.3,49.0,15.0,19.2169,1.7171,12.74,1.51,108244.493
64,600325.SH,华发股份,区域地产,即将启动,0.407,22.7,48.7,85.0,,0.6539,4.51,3.2,365127.463
65,603279.SH,景津装备,环境保护,即将启动,0.397,28.0,48.5,40.0,17.6463,2.4634,18.94,2.66,244157.82
66,601003.SH,柳钢股份,普钢,即将启动,0.395,28.7,48.4,65.0,25.8209,1.5277,5.38,5.28,239568.779
67,600961.SH,株冶集团,铅锌,观望,0.454,12.4,48.4,70.0,22.3272,6.4762,22.12,5.18,776549.604
68,600603.SH,广汇物流,区域地产,即将启动,0.537,53.6,48.4,75.0,20.9054,1.1596,7.1,4.72,149117.183
69,601975.SH,招商南油,水运,观望,0.116,48.5,48.4,65.0,15.7135,1.7195,4.07,4.63,2933266.852
70,300194.SZ,福安药业,化学制药,观望,0.791,-19.3,48.3,10.0,36.7223,1.1918,4.46,1.13,81546.151
71,002056.SZ,横店东磁,电气设备,即将启动,0.395,31.6,48.1,55.0,15.1338,3.474,21.89,6.21,1093857.094
72,000786.SZ,北新建材,其他建材,观望,0.382,15.3,48.1,30.0,15.8088,1.8177,28.68,4.06,865660.527
73,002053.SZ,云南能投,新型电力,观望,0.598,4.7,48.1,55.0,32.0444,1.4407,11.59,2.2,117775.714
74,000554.SZ,泰山石油,石油贸易,即将启动,0.521,43.7,47.8,80.0,26.6657,3.7618,8.83,1.26,786010.615
75,600094.SH,大名城,区域地产,观望,0.505,-8.4,47.7,75.0,,1.1176,4.93,1.65,112490.963
76,002540.SZ,亚太科技,铝,观望,0.505,-5.9,47.5,20.0,23.2416,1.7437,7.56,2.44,184613.376
77,600873.SH,梅花生物,食品,即将启动,0.609,47.7,47.5,80.0,8.4272,1.9715,11.33,2.07,448425.864
78,002233.SZ,塔牌集团,水泥,即将启动,0.544,38.2,47.4,25.0,16.1566,1.0042,10.09,1.51,177404.835
79,601949.SH,中国出版,出版业,即将启动,0.516,24.4,47.2,85.0,24.6564,1.4549,7.37,3.95,282012.714
80,601880.SH,辽港股份,港口,即将启动,0.56,26.6,47.1,75.0,26.8958,0.998,1.71,3.64,574721.537
81,301175.SZ,中科环保,环境保护,即将启动,0.437,36.5,47.0,75.0,26.8281,2.7046,6.48,5.37,400569.599
82,603225.SH,新凤鸣,化纤,即将启动,0.386,28.9,46.8,70.0,27.8647,1.9055,22.1,3.46,640201.035
83,301317.SZ,鑫磊股份,机械基件,观望,0.134,54.8,46.7,75.0,18.7913,5.5329,47.35,2.91,669650.159
84,002589.SZ,瑞康医药,医药商业,观望,0.448,-20.0,46.7,20.0,,0.9424,3.35,1.21,146321.107
85,601333.SH,广深铁路,铁路,观望,0.753,2.0,46.6,80.0,16.9068,0.7841,3.12,1.3,221780.831
86,000069.SZ,华侨城Ａ,全国地产,观望,0.494,-4.2,46.5,80.0,,0.466,2.66,1.53,222518.153
87,000546.SZ,金圆股份,环境保护,观望,0.522,-1.6,46.3,70.0,,1.1899,6.21,4.9,263413.056
88,688660.SH,电气风电,电气设备,观望,0.446,-16.1,46.2,65.0,,4.3513,14.33,3.77,292137.782
89,601200.SH,上海环境,环境保护,观望,0.698,4.8,46.2,10.0,19.3071,0.9905,8.53,1.91,130614.126
90,000090.SZ,天健集团,建筑工程,即将启动,0.624,38.8,46.1,35.0,24.2388,0.6703,4.05,1.5,139928.219
91,002244.SZ,滨江集团,区域地产,即将启动,0.56,27.8,45.8,15.0,11.3096,1.2586,12.02,4.43,567169.701
92,001205.SZ,盛航股份,水运,即将启动,0.713,24.1,45.8,20.0,40.7429,1.4811,16.4,1.11,115657.421
93,600643.SH,爱建集团,多元金融,观望,0.561,-14.5,45.7,80.0,,0.6553,4.92,2.71,101498.827
94,600216.SH,浙江医药,化学制药,观望,0.1,58.4,45.6,25.0,12.8089,1.4414,16.57,5.34,746282.947
95,002887.SZ,绿茵生态,环境保护,观望,0.1,61.0,45.3,70.0,29.4132,1.523,11.4,3.26,138124.264
96,605183.SH,确成股份,化工原料,即将启动,0.398,39.8,44.8,70.0,16.964,2.616,22.8,3.31,167667.07
97,001979.SZ,招商蛇口,全国地产,观望,0.406,15.0,44.7,25.0,23.9443,0.9536,10.45,3.06,879614.977
98,688596.SH,正帆科技,专用机械,即将启动,0.467,33.8,44.5,75.0,38.2462,2.8372,34.77,3.95,375276.788
99,300035.SZ,中科电气,电气设备,观望,0.426,1.7,44.4,60.0,29.1558,3.0986,22.17,4.38,1027611.524
100,002539.SZ,云图控股,农药化肥,观望,0.1,48.9,44.4,80.0,24.7444,2.1658,16.6,2.72,1200112.438
